014F	obreve	LATIN SMALL LETTER O WITH BREVE	Uni.: 5.1; MUFI: 3.0
0150	Odblac	LATIN CAPITAL LETTER O WITH DOUBLE ACUTE	Uni.: 5.1; MUFI: 3.0
0151	odblac	LATIN SMALL LETTER O WITH DOUBLE ACUTE	Uni.: 5.1; MUFI: 3.0
0152	OElig	LATIN CAPITAL LIGATURE OE	Uni.: 5.1; MUFI: 3.0
0153	oelig	LATIN SMALL LIGATURE OE	Uni.: 5.1; MUFI: 3.0
0154	Racute	LATIN CAPITAL LETTER R WITH ACUTE	Uni.: 5.1; MUFI: 3.0
0155	racute	LATIN SMALL LETTER R WITH ACUTE	Uni.: 5.1; MUFI: 3.0
015A	Sacute	LATIN CAPITAL LETTER S WITH ACUTE	Uni.: 5.1; MUFI: 3.0
015B	sacute	LATIN SMALL LETTER S WITH ACUTE	Uni.: 5.1; MUFI: 3.0
016A	Umacr	LATIN CAPITAL LETTER U WITH MACRON	Uni.: 5.1; MUFI: 3.0
016B	umacr	LATIN SMALL LETTER U WITH MACRON	Uni.: 5.1; MUFI: 3.0
016C	Ubreve	LATIN CAPITAL LETTER U WITH BREVE	Uni.: 5.1; MUFI: 3.0
016D	ubreve	LATIN SMALL LETTER U WITH BREVE	Uni.: 5.1; MUFI: 3.0
016E	Uring	LATIN CAPITAL LETTER U WITH RING ABOVE	Uni.: 5.1; MUFI: 3.0
016F	uring	LATIN SMALL LETTER U WITH RING ABOVE	Uni.: 5.1; MUFI: 3.0
0170	Udblac	LATIN CAPITAL LETTER U WITH DOUBLE ACUTE	Uni.: 5.1; MUFI: 3.0
0171	udblac	LATIN SMALL LETTER U WITH DOUBLE ACUTE	Uni.: 5.1; MUFI: 3.0
0172	Uogon	LATIN CAPITAL LETTER U WITH OGONEK	Uni.: 5.1; MUFI: 3.0
0173	uogon	LATIN SMALL LETTER U WITH OGONEK	Uni.: 5.1; MUFI: 3.0
0174	Wcirc	LATIN CAPITAL LETTER W WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
0175	wcirc	LATIN SMALL LETTER W WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
0176	Ycirc	LATIN CAPITAL LETTER Y WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
0177	ycirc	LATIN SMALL LETTER Y WITH CIRCUMFLEX	Uni.: 5.1; MUFI: 3.0
0178	Yuml	LATIN CAPITAL LETTER Y WITH DIAERESIS	Uni.: 5.1; MUFI: 3.0
017B	Zdot	LATIN CAPITAL LETTER Z WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
017C	zdot	LATIN SMALL LETTER Z WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
